title,average rating
Pepi House: Happy Family,4.02
Pepi Wonder World,4.34
"Math Games, Learn Add, Subtract, Multiply & Divide",4.41
LEGO® DUPLO® Train,4.24
Baby Panda World,4.4
Pepi Super Stores: Fun & Games,4.13
Little Panda's Restaurant,4.35
Baby Panda Care,4.16
超級單字王 - 英檢、多益、托福 輕鬆學,4.91
Smolsies - My Cute Pet House,4.24
Unicorn Chef: Cooking Games for Girls,4.42
Pepi Hospital: Learn & Care,4.05
Baby Panda's Fashion Dress Up Game,4.24
Baby Panda's School Bus - Let's Drive!,4.32
My Town : Police Station. Policeman Game for Kids,4.12
Baby Panda’s Ice Cream Shop,4.3
Meow Meow Star Acres,4.5
"Truck games for kids - build a house, car wash",4.09
"Baby Games for 2,3,4 year old toddlers",4.63
Supermarket: Shopping Games for Kids,4.18
Coloring & Learn,4.14
Little Panda's Chinese Recipes,4.34
Fluvsies - A Fluff to Luv,4.35
من سيربح المليون الموسوعة,4.22
Little Panda Policeman,4.21
Do Not Disturb! Get Prankster in a Hilarious Game,4.18
Make-Up Me: Superstar,4.38
My Town: Play & Discover - City Builder Game,4.08
Left vs Right: Brain Games for Brain Training,4.52
